City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Hasaki,JP,35.7333,140.8333,54.0,64,100,29.66,overcast clouds
209,Yate,GB,51.5407,-2.4184,61.3,89,100,5.01,overcast clouds
210,Semey,KZ,50.4111,80.2275,21.42,79,0,6.71,clear sky
211,Buta,CD,2.7858,24.73,68.45,99,100,0.87,light rain
212,Faya,SA,18.3851,42.4509,57.72,73,18,3.83,few clouds
213,Amahai,ID,-3.3333,128.9167,81.72,79,91,1.21,overcast clouds
214,Udachnyy,RU,66.4167,112.4,6.39,95,27,7.02,scattered clouds
215,Kavaratti,IN,10.5669,72.642,81.91,61,88,8.81,overcast clouds
216,Verkhnevilyuysk,RU,63.4453,120.3167,22.8,93,92,8.05,overcast clouds
217,Broome,US,42.2506,-75.833,67.32,82,20,5.75,few clouds
218,Saint-Pierre,RE,-21.3393,55.4781,70.92,73,0,5.75,clear sky
219,Ugoofaaru,MV,5.6667,73.0,80.29,82,87,6.58,overcast clouds
220,Neiafu,TO,-18.65,-173.9833,77.68,61,75,8.05,broken clouds
221,Yerbogachen,RU,61.2767,108.0108,27.5,94,100,10.47,light snow
222,Upernavik,GL,72.7868,-56.1549,22.91,94,100,9.8,light snow
223,Trat,TH,12.5,102.5,80.87,91,91,5.14,overcast clouds
224,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,38,13.71,scattered clouds
225,Esil,KZ,51.9556,66.4042,33.12,74,100,5.55,overcast clouds
226,Castro,BR,-24.7911,-50.0119,60.96,88,0,6.69,clear sky
227,Connersville,US,39.6412,-85.1411,71.62,59,100,4.0,overcast clouds
228,Marienburg,PL,54.0359,19.0266,51.89,92,72,7.99,broken clouds
229,Mokhsogollokh,RU,61.4681,128.9203,23.83,93,97,7.67,overcast clouds
230,Barranca,PE,-10.75,-77.7667,62.13,79,35,9.15,scattered clouds
231,Nsanje,MW,-16.92,35.262,78.42,54,2,3.18,clear sky
232,Cayenne,GF,4.9333,-52.3333,80.64,83,0,3.44,clear sky
233,Ust-Omchug,RU,61.15,149.6333,3.31,96,64,3.53,broken clouds
234,Arraial Do Cabo,BR,-22.9661,-42.0278,71.33,81,7,10.27,clear sky
235,Bandarbeyla,SO,9.4942,50.8122,76.87,78,25,1.07,scattered clouds
236,Marzuq,YE,14.4,46.4667,65.61,58,6,1.86,clear sky
